request,response,url,header
"In her testimony at the evidentiary hearing held on July 9, 2018, Ms. Orozco-Mejia testified that this general rate case includes a request for funding for surveys of unprotected steel pipelines not located in a business district every three years. July 9, 2018 Transcript (A.17-10- 007, A.17-10-008) at 516. Please state the forecasted cost per year associated with this survey.","Specific costs for funding for surveys of unprotected steel pipelines are not available. SoCalGas used a five year (2012-2016) linear trend to forecast aggregate base leak survey costs of gas distribution pipeline. All costs for leak survey conducted by Gas Distribution are recorded in the Leak Survey cost category, regardless of pipe category or survey cycle. Therefore, specific costs associated with each survey cycle or type of pipe cannot be separated",https://www.socalgas.com/regulatory/documents/a-17-10-008/EDF-DR5%20Q1-3%20Final.pdf,EDF-SCG-005
"In her testimony at the evidentiary hearing held on July 9, 2018, Ms. Orozco-Mejia testified that this general rate case includes a request for funding for annual surveys of unprotected steel pipelines located in a business district every three years. July 9, 2018 Transcript (A.17-10-007, A.17-10-008) at 515. Please state the forecasted cost per year associated with this survey.","SoCalGas objects to this question on the grounds that it misstates Ms. Orozco-Mejia’s testimony. On July 9, 2018, Ms. Orozco-Mejia testified (July 9, 2018 Volume 10 p. 515 lines 18-24) which states the following; “if its medium pressure steel pipe in a business district, that would be considered annual leak survey and that's included within the leak survey category in my testimony. If it's high pressure steel pipe, we are now in biannual survey or two times a year.” Subject to and without waiving the foregoing objections, SoCalGas responds as follows: Please see response to Question 1.",https://www.socalgas.com/regulatory/documents/a-17-10-008/EDF-DR5%20Q1-3%20Final.pdf,EDF-SCG-005
"In Table 1 of its 2018 Leak Abatement Compliance Plan, Southern California Gas states that funding for annual surveys of adlyl A plastic pipelines is included in this General Rate Case. Please state the forecasted cost per year associated with this survey","SoCalGas Gas Distribution forecasted the incremental leak survey costs starting in TY 2019 associated with early vintage plastic pipe that will be accelerated from a five-year leak survey cycle to annual. That forecast is shown on page 31 of workpapers SCG-04-WP (see excerpt below). The early vintage plastic pipe that is already on an annual inspection (business districts) is embedded as part of the historical cost. The estimate provided in Workpaper SCG-04-WP, pg. 31, includes only the incremental request.",https://www.socalgas.com/regulatory/documents/a-17-10-008/EDF-DR5%20Q1-3%20Final.pdf,EDF-SCG-005
Please provide a copy of all intervenor data requests submitted to SoCalGas in this proceeding and SoCalGas’ responses to those requests. Please treat this request as ongoing,"SoCalGas objects to the continuing and indefinite nature of this request on the grounds that it is unduly burdensome. Continuing interrogatories are expressly prohibited by California Code of Civil Procedure Section 030.060(g). SoCalGas further objects to the definitions and instructions submitted by the City of Long Beach on the grounds that they are overbroad and unfairly burdensome. Special interrogatory instructions of this nature are expressly prohibited by California Code of Civil Procedure Section 2030.060(d). Subject to and without waiving the foregoing objections, SoCalGas will provide all responsive documents in existence as of December 26, 2017. Should the City of Long Beach seek to update its request, SoCalGas will respond to such a request as a new data request in the future. Subject to and without waiving the foregoing objections, SoCalGas provides existing intervenor data request responses in the accompanying CD. Confidential responses and attachments are marked as Confidential and Protected Materials Pursuant to P.U. Code Section 583, General Order 66- C/D, and D.16-08-024, and are accompanied by supporting declarations. Access to such Protected Materials is restricted to those Reviewing Representatives who have signed the NonDisclosure Certificate in ALJ Lirag’s December 13, 2017 Protective Order. Pursuant to City of Long Beach counsel’s request on December 22, 2017 that SoCalGas not include any responses containing confidential information related to the Morongo Rights-of-Way, SoCalGas confirms that no such confidential information is contained in this production.",https://www.socalgas.com/regulatory/documents/a-17-10-008/CLB-SCG-001.pdf,CLB-SCG-001
Please provide a copy of all intervenor data requests submitted to SoCalGas in this proceeding and SoCalGas’ responses to those requests.,"SoCalGas objects to the continuing and indefinite nature of this request on the grounds that it is unduly burdensome. Continuing interrogatories are expressly prohibited by California Code of Civil Procedure Section 030.060(g). Should the City of Long Beach seek to update its request, SoCalGas will respond to such a request as a new data request in the future. SoCalGas further objects to the definitions and instructions submitted by the City of Long Beach on the grounds that they are overbroad and unfairly burdensome. Special interrogatory instructions of this nature are expressly prohibited by California Code of Civil Procedure Section 2030.060(d). Subject to and without waiving the foregoing objections, attached are the Confidential and public documents provided in response to all intervenor data requests submitted to SoCalGas in this proceeding between December 26, 2017 and April 22, 2018. Confidential responses and attachments are marked as Confidential and Protected Materials Pursuant to P.U. Code Section 583 & General Order 66-D and D.17-09-023. Access to such Protected Materials is restricted to those Reviewing Representatives who have signed the Non-Disclosure Certificate in ALJ Lirag’s December 13, 2017 Protective Order. Data requests received prior to December 26, 2017 were provided in response to LB-SCG-001. Parties’ requests seeking all the discovery requests and responses to date are excluded.",https://www.socalgas.com/regulatory/documents/a-17-10-008/CLB-SCG-002.pdf,CLB-SCG-002
"So consider this a formal data request for a single spreadsheet per utility that identifies all GRC proposed spending related to “safety projects” (i.e., costs associated with both Controls and proposed mitigations for identified safety risks from the RAMP), plus any other spending identified as “safety” related. This will help us segregate safety related spending, impacts and identify any projects that may apply to more than one risk (at least we hope it does that).","On November 1, 2017, Jamie York and Kelly Hart met with Arthur O'Donnell in front of the CPUC Auditorium to seek clarification of his request. During the meeting, Mr. O'Donnell agreed to a single spreadsheet that mapped the RAMP mitigation activities that were included in the SDG&E and SoCalGas GRC Testimony and Workpapers. Please see the requested file: Sempra GRC SED-DR-01 Risk Mapping Attachment",https://www.socalgas.com/regulatory/documents/a-17-10-008/SED-DR-1.pdf,SED-SEU-001
"In Volume SDGE-02/SCG-02, Appendix A.1 (Pages DD-A.1-1 – DD.A.1-4 there are tables that Map the RAMP Risk updates to portions of utility testimony scattered through multiple volumes. Please compile all the relevant portions cited into a single document compendium, for easier reference.","Please refer to the attachment SEU-SED-DR-002 Attachment_Risk Testimony. The relevant testimony sections from the original testimony served on October 6, 2017 have been copied into a single document. Please note: Revised testimony is expected to be served in mid-December that may change some of the numbers referenced here.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SED-DR-2%20final.pdf,SED-SEU-002
Please provide copies of the SDG&E and SoCalGas Safety Barometer Reports.,Please see the attached copies of the requested Safety Barometer Reports: SDGE 2016 – Full Safety Barometer Report (C) SoCalGas 2016 – Full Safety Barometer Report (C),https://www.socalgas.com/regulatory/documents/a-17-10-008/SED-DR-3%20final-Public.pdf,SED-SEU-003
Please provide SDG&E’s and SoCalGas’s responses to the Master Data Request.,"The SDG&E and SoCalGas Master Data Request responses are provided on accompanying CDs. Confidential responses and attachments are marked as Confidential and Protected Materials Pursuant to P.U. Code Section 583, General Order 66-C/D, and D.16-08-024, and are accompanied by supporting declarations. Access to such Protected Materials is restricted to those Reviewing Representatives who have signed the Non-Disclosure Certificate in ALJ Lirag’s December 13, 2017 Protective Order.",https://www.socalgas.com/regulatory/documents/a-17-10-008/TURN_DR-01%20Final.pdf,TURN-SEU-001
"Page RDP-A-34 of SCG-15 states, “To date, SoCalGas and SDG&E have experienced one test failure out of a total of 53 separate tests totaling 90 miles.” Please identify the line and segment where this test failure occurred, the date on which it occurred, and the test medium.","The attached document contains confidential and protected materials pursuant to PUC Section 583, GO 66-C/D, and D.16-08-024. The pressure test failure occurred on the Line 2000C project near Desert Hot Springs. The failure occurred on April 8, 2017. The test medium was water. See attached document for further details.",https://www.socalgas.com/regulatory/documents/a-17-10-008/TURN_DR-02%20FINAL.PDF,TURN-SEU-002
Please provide the number of vendors which provide goods or services to SDG&E,SDG&E suppliers = 2550,https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
Does SDG&E keep records of the number of small businesses located in California which provide goods or services to SDG&E?,"SDG&E does not keep records or track information based on the size of the business that provides goods or services to SDG&E. However, SDG&E tracks spend data on women, minority, service disabled veteran, lesbian, gay, bi-sexual and transgender business enterprises.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
"If SDG&E keeps records of the number of small businesses located in California which provide goods or services to SDG&E, how many of these small businesses provide goods or services to SDG&E?","SDG&E does not keep records or track information based on the size of the business that provides goods or services to SDG&E. However, SDG&E tracks spend data on women, minority, service disabled veteran, lesbian, gay, bi-sexual and transgender business enterprises.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
How many small businesses does SDG&E provide electric service to?,"For purposes of responding to this question, SDG&E defines “small businesses” as SDG&E’s small commercial electric customers as defined in SDG&E’s Tariff Rule 1. The small commercial electric customer count information is available in the Direct Testimony of Kenneth E. Schiermeyer (see Exhibit SDGE-38 at Table KES-1). SDG&E’s small customer class consists of electric customers on SDG&E rate schedules A, TOU-A, A-TOU and A-TC and UM",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
How many Schedule A (small commercial customers either TOU or otherwise) does SDG&E provide service to?,"Under rate schedule A, rate schedule A-TOU and TOU-A (combined), SDG&E had an average annual of 121,801 customers in 2016 and average annual of 123,484 customers in 2017.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
How many California small businesses provide services on behalf of the Tier 1 contractors that SDG&E uses?,"SDG&E does not keep records or track information based on the size of the business that provides goods or services to SDG&E’s Tier 1 contractors. However, SDG&E tracks spend data on women, minority, service disabled veteran, lesbian, gay, bi-sexual and transgender business enterprises that provide goods or services to SDG&E’s Tier 1 contractors.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
Please provide the number of vendors which provide goods or services to SoCalGas.,SCG suppliers = 3569,https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
Does SoCalGas keep records of the number of small businesses located in California which provide goods or services to SoCalGas?,"SoCalGas does not keep records or track information based on the size of the business that provides goods or services to SoCalGas. However, SoCalGas tracks spend data on women, minority, service disabled veteran, lesbian, gay, bi-sexual and transgender business enterprises.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
"If SoCalGas keeps records of the number of small businesses located in California which provide goods or services to SoCalGas, how many of these small businesses provide goods or services to SoCalGas?","SoCalGas does not keep records or track information based on the size of the business that provides goods or services to SoCalGas. However, SoCalGas tracks spend data on women, minority, service disabled veteran, lesbian, gay, bi-sexual and transgender business enterprises.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
How many small businesses does SoCalGas provide gas service to?,"In footnote 1 of Question 2 of this Data Request set, SBUA defines a “small business” the same way the California Department of General Services defines a small business, see http://www.dgs.ca.gov/pd/Programs/OSDS/SBEligibilityBenefits.aspx, however if SoCalGas uses some other definition, the questions asks to provide that definition. For purposes of responding to this question, SoCalGas does not distinguish its customer classes according to SBUA’s definition. Accordingly, in this response, SoCalGas distinguished between small and large commercial and industrial customers by whether the customer is categorized as being core or noncore. Based on the foregoing, SoCalGas provides the following: In 2017: Core Commercial Active meters totaled 188,449 Core Industrial Active meters totaled 16,239 NGV Active meters totaled 244",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
How many small businesses provide services on behalf of the Tier 1 contractors that SoCalGas uses?,"SoCalGas does not keep records or track information based on the size of the business that provides goods or services to SoCalGas’ Tier 1 contractors. However, SoCalGas tracks spend data on women, minority, service disabled veteran, lesbian, gay, bi-sexual and transgender business enterprises that provide goods or services to SoCalGas’ Tier 1 contractors.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
"In Decision 17-12-014 the commission authorized SDG&E to return $3.023 million in 2017 to small businesses, how does SDG&E plan to return this money?","SDG&E objects to this question on the grounds that the request seeks information outside the scope of the proceeding. This question is better suited for the scope of an Energy Resource Recovery Account (ERRA) forecast application or for Phase 2 of the GRC that sets cost allocation. Subject to and without waiving the foregoing objection, SDG&E responds as follows: SDG&E believes that the Small Business Utility Advocates meant to refer to SDG&E’s 2017 ERRA Forecast Decision (D.16-12-053) (rather than D.17-12-014, which is SDG&E’s 2018 ERRA Forecast Decision) with an authorized return of $2.702 million. SDG&E returned these funds during 2017, pursuant to Ordering Paragraph (OP) 1 of D.12-12- 033. The small business credit is a volumetric credit ($/kWh) applied to an eligible customer’s monthly delivered energy usage.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
"As a follow up to the previous question, please provide a detailed example of how the money is being returned?","SDG&E objects to this question on the grounds that the request seeks information outside the scope of the proceeding. This question is better suited for the scope of an ERRA forecast application or for Phase 2 of the GRC that sets cost allocation. Subject to and without waiving the foregoing objection, SDG&E responds as follows: See the response to Question 12. In 2017, small business customers qualified for a climate credit of $(0.00199) per kWh, which was shown as a separate line item per Schedule GHG-ARR.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
"In Decision 17-12-014 the commission authorized SDG&E to return $3.750 million in 2018 to small businesses, how does SDG&E plan to return this money?","SDG&E objects to this question on the grounds that the request seeks information outside the scope of the proceeding. This question is better suited for the scope of an ERRA forecast application or for Phase 2 of the GRC that sets cost allocation. Subject to and without waiving the foregoing objection, SDG&E responds as follows: SDG&E is returning these funds during 2018, pursuant to OP 1 of D.12-12-033. The small business credit is a volumetric credit ($/kWh) applied to an eligible customer’s monthly delivered energy usage.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
Is there any testimony regarding the return of the GHG credits to small businesses?,No. GHG credits are addressed in SDG&E’s ERRA proceeding. Please see the responses to Questions 12 and 14.,https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
"If SDG&E considers the return of GHG credits to not be part of the GRC, why is SDG&E taking this position?",Please see the responses to Questions 12 and 14. OP 20 of D.12-12-033 stated that the return of GHG credits should be reported in each utility’s respective ERRA Applications.,https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
On what basis is SDG&E placing the SONGS Unit 1 Offsite Spent Fuel Storage Costs in an ERRA proceeding rather than in this GRC?,"SDG&E has consistently requested a revenue requirement for these costs in its ERRA forecast proceedings since 2016. The request to move SDG&E’s SONGS 1 spent fuel storage costs to ERRA from the GRC was first requested in the 2016 ERRA Forecast Proceeding (A.15-04-014) and approved in D.15-12-032. Page 12 of the Decision states “we approve the request to include the SONGS Unit 1 Offsite Spent Fuel Storage Cost revenue requirement that SDG&E requests in the amount of $1.077 million. Allowing SDG&E to recover these costs in the ERRA proceeding rather than a GRC proceeding will provide a consistent approach by allowing SDG&E to mirror the way SCE seeks recovery of the SONGS Unit 1 Offsite Spent Fuel Storage Costs.” In addition, Ordering Paragraph #1 of D.15-12-032 approved the 2016 SONGS 1 offsite spent fuel storage revenue requirement.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
Has someone from ORA or the Commission approved a long-term plan for spent fuel storage from SONGS ?,SDG&E objects to this question on the ground that it is beyond the scope of this GRC proceeding. SDG&E is not seeking recovery of any SONGS spent fuel storage costs in this GRC proceeding.,https://www.socalgas.com/regulatory/documents/a-17-10-008/SBUA-SEU-DR-001_Combined.pdf,SBUA-SEU-001
"For each pipeline listed on DRH-17, lines 8-10, please state the current annual right-of-way cost that SoCalGas pays to the Morongo tribe.","SoCalGas does not currently pay annual payment to the Morongo tribe for any of its transmission line rights of way. See Testimony of Deanna Haines at DRH-17, lines 1 to 6.",https://www.socalgas.com/regulatory/documents/a-17-10-008/TURN-SCGC-DR-09_Final.pdf,TURN-SCGC-SEU-009
"Please provide an estimate of the cost to complete an engineering study (in terms of number and type of full-time employees and the length of time required to complete the study) of the cost of rerouting each of the pipelines listed on DRH-17, lines 8-10, in order to completely avoid the Morongo reservation.","As a preliminary clarification, the question appears to assume that each of the three transmission pipelines must be re-routed to completely avoid the Morongo reservation. SoCalGas’ testimony does not assert this. Further, the question is vague with respect to what is meant by the phrase “engineering study.” For purposes of preparing this response, SoCalGas interprets the phrase “engineering study” to generally encompass certain, but not all, preconstruction activities including, but not limited to, the following: development of a detailed scope of work, cost estimate and schedule, an engineering review of the natural gas distribution system to determine system impacts, identification of distribution taps to allow continuity of natural gas service, the preparation of detailed engineered drawings and material lists, the identification and preparation of ministerial permits, the identification of land requirements and ownership, the preparation of land documents for the acquisition of property, the identification of environmental permits, and environmental compliance and mitigation activities. SoCalGas further interprets the phrase “engineering study” to exclude land right and material acquisition costs. With this clarification, SoCalGas responds as follows: In A.13-12-013, SoCalGas presented a cost estimate for “engineering study” type activities for a Moreno-to-Whitewater pipeline project. The scope of a pipeline project to relocate a pipeline around the Morongo reservation is anticipated to be similar in scope and location to the Morenoto-Whitewater project presented in A.13-12-013. The “engineering study” costs associated with that project were estimated to be approximately $10 million in 2013 dollars. Considering escalation, the estimate of “engineering study” costs of a relocation project to avoid the Morongo reservation could be higher.",https://www.socalgas.com/regulatory/documents/a-17-10-008/TURN-SCGC-DR-09_Final.pdf,TURN-SCGC-SEU-009
"Please provide all workpapers that are in excel format. Presently, UCAN only has access to the PDF workpapers that were served with the application and that are on the SDG&E proceedings page website.","For workpapers where excel files are available, those will be provided on CD for this data request. Most workpaper exhibits do not exist as Excel documents with working formulae. Generally, workpapers and testimony tables that appear in testimony are not created from, nor do they originate as Excel spreadsheets, these are produced from a database system which consists of many data tables that are dynamically linked to permit grouping of cost centers and budgets, editing of historical values, selection of a forecast methodology, adjustments to forecasts and the production of workpapers. The use of a database for this purpose does not involve spreadsheets, the workpapers are formatted 'reports' from that collection of tables and linking relationships that form the database. Data extracts of this type contain only data values, the extract is not capable of producing 'working formulas'.",https://www.socalgas.com/regulatory/documents/a-17-10-008/UCAN%20DR-01%20Q%201%20final.pdf,UCAN-SEU-001
"In its response to Question 3 of DR Sierra Club/UCS-SCG-05, SoCal Gas states that the Decarbonizing Pipeline Gas report was “categorized as GRC ratepayer funded operations and maintenance (O&M) expense.” a. Please explain why operations and maintenance funds were used to pay for this report. b. Please provide the criteria used by SoCalGas to determine if an expenditure qualifies as an appropriate operations and maintenance expense.","a. In general, costs resulting in new additions of plant, property and equipment that have a useful life of more than one year are to be capitalized. All other costs incurred are charged to O&M as incurred. b. SoCalGas objects to this request on the grounds that that the term “criteria” is vague and ambiguous. Subject to and without waiving the foregoing objection, SoCalGas responds as follows: see the response to Question 1.a. above.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SIERRA_CLUB-UCS-SCG-008-Final.pdf,SC-UCS-SEU-008
"With respect to SoCalGas’ request for funding to construct new and upgrade existing natural gas vehicle fueling stations for use by SoCalGas fleet vehicles, discussed in Exh. SCG-23: a. Please provide, in dollars per MMBtu, the cost passed on to ratepayers for the natural gas consumed at these fueling stations to fuel SoCalGas’ vehicle fleet. b. What is the basis for this cost?","SoCalGas objects to the request pursuant to Rule 10.1 of the Commission’s Rule of Practice and Procedure to the extent it seeks information that is neither relevant to the subject matter involved in this proceeding nor is reasonably calculated to lead to the discovery of admissible evidence. SoCalGas objects to this request on the grounds that it is vague and ambiguous with respect to the term “cost passed on to ratepayers for the natural gas consumed at these fueling stations to fuel SoCalGas’ vehicle fleet” as no time period is specified. Subject to and without waiving these objections, SoCalGas responds as follows: CNG costs used to fuel Fleet vehicles are recoverable as company use fuel through the utilities gas fixed cost balancing accounts. For SoCalGas, CNG costs are priced using SoCalGas’ actual portfolio weighted average cost of gas (WACOG) rate for the month the fuel was consumed.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SIERRA_CLUB-UCS-SCG-008-Final.pdf,SC-UCS-SEU-008
"On April 20, 2018 SoCalGas Regional Vice President George Minter published an opinion piece in the Sacramento Bee titled, “Most of us can’t afford to go all-electric. Here’s a fairer way to curb climate change,” which is available at http://www.sacbee.com/opinion/california-forum/article209189564.html. Were any costs associated with preparation of this opinion piece or its placement with the newspaper borne by ratepayers? If so, please provide the category of ratepayer funded cost used to prepare the article.",Yes. The cost of preparing the article was categorized as GRC ratepayer funded operations and maintenance (O&M) expense. See also the response to Question 1.a. above.,https://www.socalgas.com/regulatory/documents/a-17-10-008/SIERRA_CLUB-UCS-SCG-008-Final.pdf,SC-UCS-SEU-008
Please provide executable versions of all rebuttal filings and supporting workpapers in native format with all formulas intact.,"Executable versions, where available, of all rebuttal filings and supporting workpapers are being provided to Indicated Shippers via Electronic Data Transfer (EDT). Please note documents include Confidential material, Confidential and Protected Materials Pursuant to P.U. Code Section 583 & General Order 66-D and D.17-09-023.",https://www.socalgas.com/regulatory/documents/a-17-10-008/IS%20DR%2010%20FINAL.PDF,IS-SCG-010
Please provide a copy of any confidential portions of the rebuttal testimony or material referenced in the rebuttal testimony or workpapers.,"Confidential version of rebuttal testimony and appendices are being provided to Indicated Shippers via EDT. Documents include Confidential material, Confidential and Protected Materials Pursuant to P.U. Code Section 583 & General Order 66-D and D.17-09-023.",https://www.socalgas.com/regulatory/documents/a-17-10-008/IS%20DR%2010%20FINAL.PDF,IS-SCG-010
"Has SoCalGas performed any analysis or comparison of its natural gas transportation rates with rates of other natural gas distribution companies operating in the United States? If so, please provide all documents related to such analysis. If no analysis has been performed, explain why SoCalGas does not believe it is relevant to perform such analysis.","No, SoCalGas has not performed any analysis or comparison of its natural gas transportation rates with rates of other natural gas distribution companies operating in the United States. SoCalGas believes that it is not relevant to perform such analysis.",https://www.socalgas.com/regulatory/documents/a-17-10-008/IS%20DR%2010%20FINAL.PDF,IS-SCG-010
"Does SoCalGas possess any analysis or comparison of its natural gas transportation rates with rates of other natural gas distribution companies operating in the United States? If so, please provide all documents in SoCalGas’s possession related to such analysis.","The 2016 AGA survey mentioned in Mr. Chaudhury’s rebuttal testimony (Exhibit SCG-246/SDG&E-245) contains residential data on annual revenues, number of customers, and annual usage for the 50 largest gas utilities. Based on annual revenues and usage, one can calculate residential rates for these 50 gas utilities. Please see separately attached AGA’s 2016 survey, “IS-SCG-010 Q4 AGA 2016 Top 50 Residential Utilities.pdf.”",https://www.socalgas.com/regulatory/documents/a-17-10-008/IS%20DR%2010%20FINAL.PDF,IS-SCG-010
"Has SoCalGas performed any analysis of the impact of 2019 GRC rate impacts on industrial natural gas end-use customers generally? On industrial transmission customers more specifically? If so, please provide all documents related to such analysis.","Yes, SoCalGas performed an analysis of the impact of 2019 GRC rate impacts on industrial natural gas end-use customers generally and on industrial transmission customers more specifically. Separately attached in “IS-SCG-010 Q5 SoCalGas GRC Rate Tables.xlsx” is the rate analysis. Rate Table 3 has the Core Commercial and Industrial rates comparison. Rate Table 5 has the Noncore Distribution Commercial and Industrial rates comparison. Rate Table 7 has the Noncore Transmission Commercial and Industrial rates comparison.",https://www.socalgas.com/regulatory/documents/a-17-10-008/IS%20DR%2010%20FINAL.PDF,IS-SCG-010
"At Page 7 of the March 8, 2017 Staff Report on Risk and Safety Aspects of Risk Assessment and Mitigation Phase Report of San Diego Gas & Electric Company and Southern California Gas Company, Investigation 16-10-015 and I.16-10-016, Staff state: The following should be considered for improvement in the GRC presentation and workpapers: • In the RSE, use plausible comparisons that connect causal relationships to information provided for making a sound decision on whether the increase in spending would be reasonable and the incident rate reductions possible. • More thoroughly outline plans for enhancing existing mitigations, and provide more information to sufficiently describe how enhancements differ and improve baseline (Control) activities with an estimate of risk reduction. • Improve the correlation of the RSE to the baseline risks and the proposed risk mitigations in order for the RSE to be used as intended. • Address the requirement to provide an RSE for the alternative mitigation programs, and work on presenting reasonable and viable alternatives and provide sufficient explanation of alternatives and their potential for risk reduction. The testimony of Diana Day discusses the Staff Report. Please provide further citations to testimony that demonstrates how SoCalGas incorporated these suggestions in the following chapters: a. SCG-05 Gas System Integrity- Omar Rivera b. SCG-06 Gas Transmission Operation- Elizabeth Musich c. SCG-07 Gas Transmission- Elizabeth Musich d. SCG-09 Underground Storage- Neil Navin e. SCG-14 Pipeline Integrity for Transmission and Distribution – Maria Martinez","SoCalGas notes that while subpart d of this question references Exhibit SCG-09, an email communication from Katy Morsony, received on June 27, 2018, clarified the requested information is for Exhibit SCG-10, Underground Storage. Accordingly, SoCalGas’ response pertains to Exhibit SCG-10, rather than Exhibit SCG-09. The first, third, and fourth bullets listed in the quote above from the SED Evaluation Report on the Companies’ RAMP filing address improvements related to Risk Spend Efficiency (RSE). As explained in Ms. Day’s revised direct testimony (Exhibit SCG-02-R/SDG&E-02-R) at DD-17-18, the Companies did not include RSE calculations in this current GRC given that they are “evolving, should be further refined in the S-MAP, and have limited usefulness in their current state.” Therefore, Exhibits SCG-05, SCG-06, SCG-07, SCG-10, and SCG-14 do not discuss RSE calculations. However, these five SoCalGas exhibits do describe, both through narrative and tables, the controls (2016 costs) and mitigations (estimated TY 2019 incremental), as applicable, related to RAMP. Further, SoCalGas explains in narrative how the mitigation activities relate to the RAMP risks. In addition to the relevant workpapers, below are citations for each of the requested SoCalGas testimony exhibits: a. SCG-05 at Section I.B, Section II, and the cost sections (non-shared and shared O&M) such as Section III.A. b. SCG-06 at Section I.D, Section II, and Section III.D. c. SCG-07 at Section I.C, Section II, and the capital cost sections such as Sections III.B, E, and G. d. SCG-10 at Section I.B, Section II, Section III. A, B, D and the capital cost sections such as Section V.C, D, F, and G. e. SCG-14 at Section I.B, Section II, and the cost sections (non-shared, shared, and capital) such as Section III.B. As of the date of this data request, there is a S-MAP settlement agreement pending before the Commission; one term of that settlement agreement would result in the further refinement of the RSE, which can be presented at the next GRC. ",https://www.socalgas.com/regulatory/documents/a-17-10-008/IS%20DR%2010%20FINAL.PDF,IS-SCG-010
"With respect to the Applicants’ response to SCGC-SEU-02, Q.2.8.1, is the information identifying the entity that procures gas on behalf of core customers uploaded to the Data Warehouse?","No, this information is not uploaded to the Data Warehouse.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SCGC-SEU-003_Final.pdf,SCGC-SEU-003
"If the answer to the previous question is “yes,” please state how frequently the information identifying the entity that procures gas on behalf of core customers is uploaded to the Data Warehouse.","Not applicable, see the response to Question 3.1",https://www.socalgas.com/regulatory/documents/a-17-10-008/SCGC-SEU-003_Final.pdf,SCGC-SEU-003
"With respect to the response to SCGC-SEU-02, Q.2.8.3, please state what data constitutes “master data”, defining each category that is included in the data uploaded to the Data Warehouse from the CIS database on a daily basis.","SoCalGas objects to this request pursuant to Rule 10.1 of the Commission’s Rules of Practice and Procedure, on the grounds that the request seeks the production of information that is outside the scope of this proceeding and neither relevant to the subject matter involved in the pending proceeding nor likely reasonably calculated to lead to the discovery of admissible evidence in this proceeding. Subject to and without waiving the foregoing objections, SoCalGas responds as follows: As used in SoCalGas’ response to SCGC-SEU-02, Q.2.8.3, “master data” is a single source of common business data used across multiple systems, applications, and/or processes.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SCGC-SEU-003_Final.pdf,SCGC-SEU-003
Please confirm that the data from the CIS database that is uploaded to the Data Warehouse can be queried simultaneously with the AM interval data within the Data Warehouse.,"Yes, the CIS data in the Data Warehouse can be queried with the AM interval data as it is made available within the Data Warehouse.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SCGC-SEU-003_Final.pdf,SCGC-SEU-003
Please confirm that the MDMS data set contains the MTU identifier in addition to the hourly meter data,"SoCalGas objects to Question 4.2 under Rule 10.1 of the Commission’s Rules of Practice and Procedure on the grounds that the information sought by this request is not relevant to the scope of the subject matter involved in the pending proceeding and the burden, expense and intrusiveness of this request outweighs the likelihood that the information sought will lead to the discovery of relevant and admissible evidence within the scope of the pending proceeding.",https://www.socalgas.com/regulatory/documents/a-17-10-008/SCGC-DR-004-Final.pdf,SCGC-SEU-004
